year,soc_name,soc,cip_name,cip,avg_wage,avg_wage_moe,num_ppl,num_ppl_moe,num_ppl_rca
2015,"Aerospace engineers","172011","Computer and Information Sciences and Support Services","11",98654.0,7592.89,3804,1198.69,1.03056
2015,"Police officers","333050","Computer and Information Sciences and Support Services","11",67652.5,10832.5,3739,1182.71,0.370695
2015,"Industrial engineers, including health & safety","172110","Computer and Information Sciences and Support Services","11",89359.1,12157.1,3699,1251.88,0.751148
2015,"Social workers","211020","Computer and Information Sciences and Support Services","11",41525.3,7313.03,3643,1110.63,0.156964
2015,"Real estate brokers & sales agents","419020","Computer and Information Sciences and Support Services","11",75364.8,19565.4,3575,1132.84,0.32405
2015,"Maintenance & repair workers, general","499071","Computer and Information Sciences and Support Services","11",48116.0,6850.1,3435,1599.88,2.56985
2015,"Bookkeeping, accounting, & auditing clerks","433031","Computer and Information Sciences and Support Services","11",36305.0,8846.64,3392,1129.87,0.413253
2015,"Janitors & building cleaners","37201X","Computer and Information Sciences and Support Services","11",24823.7,5045.7,3318,1193.09,0.71811
2015,"Market research analysts & marketing specialists","131161","Computer and Information Sciences and Support Services","11",72672.2,15809.7,3288,1232.14,0.41246
2015,"Civil engineers","172051","Computer and Information Sciences and Support Services","11",84931.4,14832.6,3270,1070.19,0.344489
2015,"Claims adjusters, appraisers, examiners, & investigators","131030","Computer and Information Sciences and Support Services","11",61625.6,9522.46,3189,921.567,0.605854
2015,"Other Sales Workers","419099","Computer and Information Sciences and Support Services","11",140042.0,62104.7,3183,1382.73,0.725098
2015,"Insurance sales agents","413021","Computer and Information Sciences and Support Services","11",70225.1,13926.1,3182,1055.98,0.403987
2015,"Cooks","352010","Computer and Information Sciences and Support Services","11",17343.6,3798.28,3146,1278.81,0.779568
2015,"Clergy","212011","Computer and Information Sciences and Support Services","11",43104.0,8097.66,3145,1080.26,0.278844
2015,"Engineering technicians, except drafters","173020","Computer and Information Sciences and Support Services","11",60356.7,12106.0,3052,991.583,1.14145
2015,"Property, real estate, & community association managers","119141","Computer and Information Sciences and Support Services","11",75194.4,15231.9,3033,964.243,0.376415
2015,"Nursing, psychiatric, & home health aides","311010","Computer and Information Sciences and Support Services","11",30378.3,7395.17,2905,1066.12,0.418808
2015,"Industrial production managers","113051","Computer and Information Sciences and Support Services","11",100030.0,9789.28,2848,842.632,0.73774
