year,soc_name,soc,cip_name,cip,avg_wage,avg_wage_moe,num_ppl,num_ppl_moe,num_ppl_rca
2014,"Software developers, applications & systems software","15113X","Computer and Information Sciences and Support Services","11",101605.0,1966.34,304375,13090.8,9.58257
2014,"Computer programmers","151131","Computer and Information Sciences and Support Services","11",84442.7,2384.13,116499,7124.01,10.7616
2014,"Miscellaneous managers","119XXX","Computer and Information Sciences and Support Services","11",121332.0,5798.7,86773,5393.07,1.11604
2014,"Computer & information systems managers","113021","Computer and Information Sciences and Support Services","11",113850.0,4022.93,86772,5260.61,6.30201
2014,"Other Computer Occupations","151199","Computer and Information Sciences and Support Services","11",82832.4,3617.75,77943,5104.15,7.74465
2014,"Computer systems analysts","151121","Computer and Information Sciences and Support Services","11",84893.0,4489.24,65655,4888.95,4.78875
2014,"Computer support specialists","151150","Computer and Information Sciences and Support Services","11",64007.1,3332.95,63599,5732.58,7.81748
2014,"Management analysts","131111","Computer and Information Sciences and Support Services","11",97993.7,5602.93,32713,4244.78,1.78972
2014,"Network & computer systems administrators","151142","Computer and Information Sciences and Support Services","11",72467.0,3686.51,31443,2969.82,8.12197
2014,"Postsecondary teachers","251000","Computer and Information Sciences and Support Services","11",50292.9,5108.52,23302,2928.01,0.507235
2014,"Web developers","151134","Computer and Information Sciences and Support Services","11",67298.8,6429.69,23059,3269.93,5.77973
2014,"Chief executives & legislators","1110XX","Computer and Information Sciences and Support Services","11",185074.0,16822.0,22527,3287.4,0.835384
2014,"Computer network architects","151143","Computer and Information Sciences and Support Services","11",98266.9,6418.96,21137,3515.8,9.98987
2014,"Elementary & middle school teachers","252020","Computer and Information Sciences and Support Services","11",48602.0,5763.95,19149,2447.55,0.164747
2014,"Firstline supervisors of retail sales workers","411011","Computer and Information Sciences and Support Services","11",63407.3,9065.96,18659,2875.72,0.758491
2014,"Database administrators","151141","Computer and Information Sciences and Support Services","11",89814.2,4908.91,18409,2341.29,6.27498
2014,"Customer service representatives","434051","Computer and Information Sciences and Support Services","11",46068.8,6249.19,18398,3030.34,0.890665
